link,judul,tanggal,portal
https://www.itfglobal.org/en/campaigns/stop-union-busting-garuda-airlines,Stop union busting at Garuda Airlines,2024-06-27,ITF Global
https://nasional.kontan.co.id/news/pesawat-garuda-air-delay-hingga-12-jam-ini-kekecewaan-jemaah-haji-di-madinah,"Pesawat Garuda Air Delay Hingga 12 Jam, Ini Kekecewaan Jemaah Haji di Madinah",2024-06-27,kontan.co.id
https://news.detik.com/berita/d-7411956/kasus-pesawat-garuda-soetikno-dituntut-bayar-ganti-jutaan-dolar-dan-euro,"Kasus Pesawat Garuda, Soetikno Dituntut Bayar Ganti Jutaan Dolar dan Euro",2024-06-27,detikNews
https://kemenag.go.id/nasional/garuda-lakukan-penyesuaian-46-kloter-jemaah-haji-gelombang-i-pulang-dari-madinah-2Ye3r,"Garuda Lakukan Penyesuaian, 46 Kloter Jemaah Haji Gelombang I Pulang dari Madinah",2024-06-24,Kementerian Agama RI
https://samchui.com/2024/06/15/trip-report-onboard-a-hajj-flight-garuda-indonesia-b747-400/,Trip Report: Onboard a HAJJ Flight – Garuda Indonesia B747-400,2024-06-15,Sam Chui Aviation and Travel
https://www.kompas.com/cekfakta/read/2024/06/13/214500382/kilas-balik-kecelakaan-pesawat-garuda-dc-10-di-jepang-pada-1996?page=all,Kilas Balik Kecelakaan Pesawat Garuda DC-10 di Jepang pada 1996,2024-06-13,Kompas.com
https://www.thelawyermag.com/au/news/general/baker-mckenzie-brings-victory-for-garuda-airlines-in-high-court/492537,Baker McKenzie brings victory for Garuda Airlines in High Court,2024-06-10,Australasian Lawyer
https://insightplus.bakermckenzie.com/bm/dispute-resolution/australia-garuda-airlines-wins-argument-for-foreign-state-immunity-in-the-australian-high-court,Australia: Garuda airlines wins argument for foreign state immunity in the Australian High Court,2024-06-06,Baker McKenzie InsightPlus
https://kemenag.go.id/pers-rilis/dua-pekan-pemberangkatan-jemaah-haji-penerbangan-garuda-masih-sering-terlambat-qbIfj,"Dua Pekan Pemberangkatan Jemaah Haji, Penerbangan Garuda Masih Sering Terlambat",2024-05-28,Kementerian Agama RI
https://nasional.kompas.com/read/2024/05/28/14135131/kemenag-sebut-hampir-40-persen-penerbangan-haji-garuda-terlambat,Kemenag Sebut Hampir 40 Persen Penerbangan Haji Garuda Terlambat,2024-05-28,KOMPAS.com
